Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
1;23470;"Coordination Chemistry Reviews";journal;"00108545";4,442;Q1;287;471;775;91652;16791;758;22,06;194,59;Netherlands;Western Europe;"Elsevier";"1966-2022";"Inorganic Chemistry (Q1); Materials Chemistry (Q1); Physical and Theoretical Chemistry (Q1)";"Chemistry; Materials Science"
2;21100209317;"ACS Macro Letters";journal;"21611653";1,705;Q1;101;243;800;11296;5346;793;6,62;46,49;United States;Northern America;"American Chemical Society";"2012-2021";"Inorganic Chemistry (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1)";"Chemistry; Materials Science"
3;21100779404;"Macromolecules";journal;"00249297, 15205835";1,504;Q1;323;1078;3071;65824;17467;3051;5,56;61,06;United States;Northern America;"American Chemical Society";"1968-2021";"Inorganic Chemistry (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1)";"Chemistry; Materials Science"
4;13517;"Ultrasonics Sonochemistry";journal;"13504177, 18732828";1,414;Q1;140;497;1452;26929;12386;1449;8,90;54,18;Netherlands;Western Europe;"Elsevier";"1994-2021";"Acoustics and Ultrasonics (Q1); Chemical Engineering (miscellaneous) (Q1); Environmental Chemistry (Q1); Inorganic Chemistry (Q1); Organic Chemistry (Q1); Radiology, Nuclear Medicine and Imaging (Q1)";"Chemical Engineering; Chemistry; Environmental Science; Medicine; Physics and Astronomy"
5;21100403917;"Inorganic Chemistry Frontiers";journal;"20521545, 20521553";1,316;Q1;67;455;1177;28995;8000;1176;6,83;63,73;United Kingdom;Western Europe;"Royal Society of Chemistry";"2014-2021";"Inorganic Chemistry (Q1)";"Chemistry"
6;19900191733;"ChemCatChem";journal;"18673880, 18673899";1,311;Q1;114;526;2113;35191;10828;2043;5,19;66,90;Germany;Western Europe;"Wiley - VCH Verlag GmbH &amp; CO. KGaA";"2009-2021";"Catalysis (Q1); Inorganic Chemistry (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1)";"Chemical Engineering; Chemistry"
7;21100326898;"Acta Crystallographica Section A: Foundations and Advances";journal;"20532733";1,230;Q1;84;57;218;1438;385;206;1,66;25,23;United States;Northern America;"John Wiley &amp; Sons Inc.";"1998, 2014-2021";"Biochemistry (Q1); Condensed Matter Physics (Q1); Inorganic Chemistry (Q1); Materials Science (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q1); Structural Biology (Q2)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Materials Science; Physics and Astronomy"
8;25879;"International Journal of Molecular Sciences";journal;"14220067, 16616596";1,176;Q1;195;13665;20275;1197093;129212;20030;6,01;87,60;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2000-2021";"Computer Science Applications (Q1); Inorganic Chemistry (Q1); Medicine (miscellaneous) (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1); Spectroscopy (Q1); Catalysis (Q2); Molecular Biology (Q2)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Computer Science; Medicine"
9;25264;"Inorganic Chemistry";journal;"00201669, 1520510X";1,121;Q1;241;2065;5389;122141;26660;5361;4,97;59,15;United States;Northern America;"American Chemical Society";"1962-2021";"Chemistry (miscellaneous) (Q1); Inorganic Chemistry (Q1); Physical and Theoretical Chemistry (Q1)";"Chemistry"
10;26423;"Organometallics";journal;"15206041, 02767333";0,994;Q1;176;468;1586;29800;5617;1565;3,53;63,68;United States;Northern America;"American Chemical Society";"1982-2021";"Inorganic Chemistry (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1)";"Chemistry"
11;4000150001;"Bioinorganic Chemistry and Applications";journal;"15653633, 1687479X";0,906;Q1;40;54;75;3036;601;74;4,13;56,22;United States;Northern America;"Hindawi Publishing Corporation";"2003-2021";"Inorganic Chemistry (Q1); Organic Chemistry (Q1); Biochemistry (Q2)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
12;25242;"Comments on Inorganic Chemistry";journal;"02603594, 15489574";0,890;Q1;43;15;33;1732;129;15;4,33;115,47;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1981-2021";"Inorganic Chemistry (Q1)";"Chemistry"
13;9500153949;"Dalton Transactions";journal;"14779226, 14779234";0,864;Q1;193;1839;5594;108460;23562;5572;4,19;58,98;United Kingdom;Western Europe;"Royal Society of Chemistry";"2002-2021";"Inorganic Chemistry (Q1)";"Chemistry"
14;16901;"Biological Trace Element Research";journal;"15590720, 01634984";0,649;Q1;88;705;1074;37005;4490;1061;4,40;52,49;United States;Northern America;"Humana Press";"1979-2021";"Inorganic Chemistry (Q1); Clinical Biochemistry (Q2); Endocrinology, Diabetes and Metabolism (Q2); Medicine (miscellaneous) (Q2); Biochemistry (Q3); Biochemistry (medical) (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Medicine"
15;21100894511;"Optical Materials: X";journal;"25901478";0,642;Q1;10;36;45;2022;190;45;4,22;56,17;Netherlands;Western Europe;"Elsevier BV";"2019-2021";"Inorganic Chemistry (Q1); Atomic and Molecular Physics, and Optics (Q2); Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2); Organic Chemistry (Q2); Physical and Theoretical Chemistry (Q2); Spectroscopy (Q2)";"Chemistry; Engineering; Materials Science; Physics and Astronomy"
16;16083;"Journal of Chemical Technology and Biotechnology";journal;"02682575, 10974660";0,625;Q1;124;387;1110;20763;3973;1093;3,66;53,65;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1979-1981, 1983-2021";"Inorganic Chemistry (Q1); Biotechnology (Q2); Chemical Engineering (miscellaneous) (Q2); Fuel Technology (Q2); Organic Chemistry (Q2); Pollution (Q2); Renewable Energy, Sustainability and the Environment (Q2); Waste Management and Disposal (Q2)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Energy; Environmental Science"
17;25280;"Journal of Biological Inorganic Chemistry";journal;"09498257, 14321327";0,620;Q1;106;75;301;3801;1009;280;3,36;50,68;Germany;Western Europe;"Springer Verlag";"1996-2021";"Inorganic Chemistry (Q1); Biochemistry (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
18;29664;"Journal of Trace Elements in Medicine and Biology";journal;"0946672X";0,599;Q2;82;189;635;11145;2438;616;3,85;58,97;Germany;Western Europe;"Urban und Fischer Verlag GmbH und Co. KG";"1995-2021";"Inorganic Chemistry (Q2); Biochemistry (Q3); Molecular Medicine (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
19;24074;"Helvetica Chimica Acta";journal;"0018019X, 15222675";0,595;Q2;85;87;196;4754;388;192;2,01;54,64;United States;Northern America;"Wiley-Blackwell";"1918-2021";"Drug Discovery (Q2); Inorganic Chemistry (Q2); Organic Chemistry (Q2); Physical and Theoretical Chemistry (Q2); Biochemistry (Q3); Catalysis (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
20;12318;"Optical Materials";journal;"09253467";0,583;Q2;109;1128;2453;49425;8343;2450;3,50;43,82;Netherlands;Western Europe;"Elsevier";"1992-2021";"Atomic and Molecular Physics, and Optics (Q2); Computer Science (miscellaneous) (Q2); Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2); Inorganic Chemistry (Q2); Organic Chemistry (Q2); Physical and Theoretical Chemistry (Q2); Spectroscopy (Q2)";"Chemistry; Computer Science; Engineering; Materials Science; Physics and Astronomy"
21;22701;"Applied Organometallic Chemistry";journal;"02682605, 10990739";0,581;Q2;76;418;2021;26631;7464;2021;3,77;63,71;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1987-2021";"Chemistry (miscellaneous) (Q2); Inorganic Chemistry (Q2)";"Chemistry"
22;26972;"Journal of Solid State Chemistry";journal;"1095726X, 00224596";0,576;Q2;148;737;1653;35447;5592;1651;3,49;48,10;United States;Northern America;"Academic Press Inc.";"1969-2021";"Ceramics and Composites (Q2); Condensed Matter Physics (Q2); Electronic, Optical and Magnetic Materials (Q2); Inorganic Chemistry (Q2); Materials Chemistry (Q2); Physical and Theoretical Chemistry (Q2)";"Chemistry; Materials Science; Physics and Astronomy"
23;17615;"Journal of Inorganic Biochemistry";journal;"01620134, 18733344";0,571;Q2;135;233;735;15838;2744;726;4,00;67,97;United States;Northern America;"Elsevier Inc.";"1979-2021";"Inorganic Chemistry (Q2); Biochemistry (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
24;25256;"European Journal of Inorganic Chemistry";journal;"10990682, 14341948";0,553;Q2;139;556;1778;37909;4034;1673;2,24;68,18;Germany;Western Europe;"Wiley-VCH Verlag";"1975, 1980-1981, 1983, 1998-2021";"Inorganic Chemistry (Q2)";"Chemistry"
25;27009;"Oxidation of Metals";journal;"0030770X, 15734889";0,548;Q2;80;68;226;2418;428;226;1,79;35,56;United States;Northern America;"Springer New York";"1969-2021";"Inorganic Chemistry (Q2); Materials Chemistry (Q2); Metals and Alloys (Q2)";"Chemistry; Materials Science"
26;21100857210;"Inorganics";journal;"23046740";0,540;Q2;26;89;338;6240;918;327;2,86;70,11;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2013-2021";"Inorganic Chemistry (Q2)";"Chemistry"
27;26420;"Organometallic Chemistry";book series;"03010074";0,517;Q2;13;7;6;748;11;5;1,83;106,86;United Kingdom;Western Europe;"Royal Society of Chemistry";"1998-2002, 2004-2005, 2007-2012, 2014, 2016, 2019, 2021";"Inorganic Chemistry (Q2); Organic Chemistry (Q2); Physical and Theoretical Chemistry (Q2)";"Chemistry"
28;24642;"Journal of Molecular Structure";journal;"00222860";0,480;Q2;110;2061;4425;108884;14903;4418;3,57;52,83;Netherlands;Western Europe;"Elsevier";"1967-2022";"Analytical Chemistry (Q2); Inorganic Chemistry (Q2); Organic Chemistry (Q2); Spectroscopy (Q2)";"Chemistry"
29;25267;"Inorganic Chemistry Communication";journal;"13877003";0,463;Q2;75;646;1306;30673;3782;1302;3,17;47,48;Netherlands;Western Europe;"Elsevier BV";"1998-2021";"Inorganic Chemistry (Q2); Materials Chemistry (Q2); Physical and Theoretical Chemistry (Q2)";"Chemistry; Materials Science"
30;21100316020;"Crystals";journal;"20734352";0,459;Q2;45;1588;2292;74780;5668;2221;2,46;47,09;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2010-2021";"Chemical Engineering (miscellaneous) (Q2); Condensed Matter Physics (Q2); Inorganic Chemistry (Q2); Materials Science (miscellaneous) (Q2)";"Chemical Engineering; Chemistry; Materials Science; Physics and Astronomy"
31;19700188457;"Metal ions in life sciences";book series;"20419821, 15590836";0,457;Q2;41;1;47;0;128;43;2,89;0,00;Germany;Western Europe;"Walter de Gruyter GmbH";"2006-2007, 2010-2021";"Inorganic Chemistry (Q2); Biochemistry (Q3); Medicine (miscellaneous) (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Medicine"
32;25303;"Polyhedron";journal;"02775387";0,446;Q2;102;503;1819;29667;4952;1814;2,82;58,98;United Kingdom;Western Europe;"Elsevier Ltd.";"1982-2021";"Inorganic Chemistry (Q2); Materials Chemistry (Q2); Physical and Theoretical Chemistry (Q2)";"Chemistry; Materials Science"
33;24703;"Journal of Crystal Growth";journal;"00220248";0,430;Q2;155;293;1339;9532;2453;1327;1,81;32,53;Netherlands;Western Europe;"Elsevier";"1967-2021";"Inorganic Chemistry (Q2); Materials Chemistry (Q2); Condensed Matter Physics (Q3)";"Chemistry; Materials Science; Physics and Astronomy"
34;25897;"Journal of Organometallic Chemistry";journal;"0022328X";0,430;Q2;127;300;1150;17543;2617;1136;2,25;58,48;Netherlands;Western Europe;"Elsevier";"1963-2021";"Inorganic Chemistry (Q2); Materials Chemistry (Q2); Biochemistry (Q3); Organic Chemistry (Q3); Physical and Theoretical Chemistry (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Materials Science"
35;25283;"Journal of Fluorine Chemistry";journal;"00221139";0,424;Q3;93;130;455;6458;975;453;2,16;49,68;Netherlands;Western Europe;"Elsevier BV";"1971-2021";"Biochemistry (Q3); Environmental Chemistry (Q3); Inorganic Chemistry (Q3); Organic Chemistry (Q3); Physical and Theoretical Chemistry (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Environmental Science"
36;4400151603;"Advances in Inorganic Chemistry";book series;"08988838, 15578917";0,421;Q3;55;21;65;2379;161;9;2,45;113,29;United States;Northern America;"Academic Press Inc.";"1982-1996, 1998-2006, 2008-2021";"Inorganic Chemistry (Q3)";"Chemistry"
37;25270;"Inorganica Chimica Acta";journal;"18733255, 00201693";0,420;Q3;102;496;2044;27896;5301;2035;2,82;56,24;Netherlands;Western Europe;"Elsevier BV";"1967-2021";"Materials Chemistry (Q2); Inorganic Chemistry (Q3); Physical and Theoretical Chemistry (Q3)";"Chemistry; Materials Science"
38;21100398885;"Carbon Letters";journal;"22334998, 19764251";0,409;Q3;23;119;207;5848;523;205;2,98;49,14;Singapore;Asiatic Region;"";"2014-2021";"Materials Chemistry (Q2); Ceramics and Composites (Q3); Energy Engineering and Power Technology (Q3); Inorganic Chemistry (Q3); Organic Chemistry (Q3); Process Chemistry and Technology (Q3); Renewable Energy, Sustainability and the Environment (Q3)";"Chemical Engineering; Chemistry; Energy; Materials Science"
