Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
1;26465;"Progress in Polymer Science";journal;"00796700";5,886;Q1;296;58;176;15687;5489;175;29,96;270,47;United Kingdom;Western Europe;"Elsevier Ltd.";"1967, 1970-1971, 1975, 1977-1978, 1980-1986, 1988-2021";"Ceramics and Composites (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1); Surfaces and Interfaces (Q1)";"Chemistry; Materials Science; Physics and Astronomy"
2;26371;"Natural Product Reports";journal;"02650568, 14604752";2,780;Q1;188;93;209;15621;2733;202;13,48;167,97;United Kingdom;Western Europe;"Royal Society of Chemistry";"1984-2021";"Biochemistry (Q1); Drug Discovery (Q1); Organic Chemistry (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
3;26968;"Journal of Photochemistry and Photobiology C: Photochemistry Reviews";journal;"13895567";2,718;Q1;95;19;55;4152;846;55;15,91;218,53;Netherlands;Western Europe;"Elsevier";"2000-2021";"Catalysis (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1)";"Chemical Engineering; Chemistry"
4;21101021575;"Journal of Bioresources and Bioproducts";journal;"23699698";2,466;Q1;20;32;61;2213;1026;59;16,82;69,16;Canada;Northern America;"KeAi Communications Co.";"2019-2021";"Biochemistry (Q1); Biomaterials (Q1); Forestry (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemistry; Materials Science"
5;21100242403;"Redox Biology";journal;"22132317";2,191;Q1;105;425;974;33095;10483;960;10,21;77,87;Netherlands;Western Europe;"Elsevier BV";"2013-2021";"Biochemistry (Q1); Clinical Biochemistry (Q1); Organic Chemistry (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
6;25781;"Aldrichimica Acta";journal;"00025100";2,000;Q1;61;3;16;135;68;14;4,18;45,00;United States;Northern America;"Aldrich";"1990-2020";"Organic Chemistry (Q1)";"Chemistry"
7;21100209317;"ACS Macro Letters";journal;"21611653";1,705;Q1;101;243;800;11296;5346;793;6,62;46,49;United States;Northern America;"American Chemical Society";"2012-2021";"Inorganic Chemistry (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1)";"Chemistry; Materials Science"
8;26396;"Organic Letters";journal;"15237052, 15237060";1,669;Q1;246;1814;5829;83944;34211;5809;6,06;46,28;United States;Northern America;"American Chemical Society";"1999-2021";"Biochemistry (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
9;25801;"Carbohydrate Polymers";journal;"18791344, 01448617";1,612;Q1;228;1454;3917;87521;40697;3915;10,25;60,19;United Kingdom;Western Europe;"Elsevier Ltd.";"1981-2022";"Materials Chemistry (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1)";"Chemistry; Materials Science"
10;16313;"Fuel";journal;"00162361, 18737153";1,514;Q1;229;2607;6209;140045;46947;6200;7,66;53,72;Netherlands;Western Europe;"Elsevier BV";"1922, 1970-2022";"Chemical Engineering (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Organic Chemistry (Q1)";"Chemical Engineering; Chemistry; Energy"
11;21100779404;"Macromolecules";journal;"00249297, 15205835";1,504;Q1;323;1078;3071;65824;17467;3051;5,56;61,06;United States;Northern America;"American Chemical Society";"1968-2021";"Inorganic Chemistry (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1)";"Chemistry; Materials Science"
12;21100218381;"Organic Reactions";book series;"00786179";1,432;Q1;17;9;43;2753;71;17;1,51;305,89;United States;Northern America;"John Wiley &amp; Sons Inc.";"2011-2021";"Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1)";"Chemistry"
13;13517;"Ultrasonics Sonochemistry";journal;"13504177, 18732828";1,414;Q1;140;497;1452;26929;12386;1449;8,90;54,18;Netherlands;Western Europe;"Elsevier";"1994-2021";"Acoustics and Ultrasonics (Q1); Chemical Engineering (miscellaneous) (Q1); Environmental Chemistry (Q1); Inorganic Chemistry (Q1); Organic Chemistry (Q1); Radiology, Nuclear Medicine and Imaging (Q1)";"Chemical Engineering; Chemistry; Environmental Science; Medicine; Physics and Astronomy"
14;22669;"Advanced Synthesis and Catalysis";journal;"16154169, 16154150";1,392;Q1;160;495;1769;39670;10229;1759;5,98;80,14;Germany;Western Europe;"Wiley-VCH Verlag";"1996-2021";"Catalysis (Q1); Organic Chemistry (Q1)";"Chemical Engineering; Chemistry"
15;23392;"Chemistry - A European Journal";journal;"15213765, 09476539";1,343;Q1;254;1986;6629;142624;31088;6423;4,64;71,81;Germany;Western Europe;"Wiley-VCH Verlag";"1995-2021";"Catalysis (Q1); Chemistry (miscellaneous) (Q1); Organic Chemistry (Q1)";"Chemical Engineering; Chemistry"
16;19900191733;"ChemCatChem";journal;"18673880, 18673899";1,311;Q1;114;526;2113;35191;10828;2043;5,19;66,90;Germany;Western Europe;"Wiley - VCH Verlag GmbH &amp; CO. KGaA";"2009-2021";"Catalysis (Q1); Inorganic Chemistry (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1)";"Chemical Engineering; Chemistry"
17;21100403813;"Organic Chemistry Frontiers";journal;"20524110, 20524129";1,218;Q1;64;671;1434;47873;7428;1430;5,23;71,35;United Kingdom;Western Europe;"Royal Society of Chemistry";"2014-2021";"Organic Chemistry (Q1)";"Chemistry"
18;16876;"Bioconjugate Chemistry";journal;"15204812, 10431802";1,193;Q1;177;263;1019;15178;5540;1003;5,81;57,71;United States;Northern America;"American Chemical Society";"1990-2021";"Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Organic Chemistry (Q1); Pharmaceutical Science (Q1); Pharmacology (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Engineering; Pharmacology, Toxicology and Pharmaceutics"
19;25879;"International Journal of Molecular Sciences";journal;"14220067, 16616596";1,176;Q1;195;13665;20275;1197093;129212;20030;6,01;87,60;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2000-2021";"Computer Science Applications (Q1); Inorganic Chemistry (Q1); Medicine (miscellaneous) (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1); Spectroscopy (Q1); Catalysis (Q2); Molecular Biology (Q2)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Computer Science; Medicine"
20;19700182678;"Polymer Chemistry";journal;"17599954, 17599962";1,120;Q1;127;635;1955;38524;10050;1946;4,98;60,67;United Kingdom;Western Europe;"Royal Society of Chemistry";"2010-2021";"Biochemistry (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Engineering; Materials Science"
21;25939;"Macromolecular Rapid Communications";journal;"10221336, 15213927";1,103;Q1;159;367;869;21459;4259;853;4,84;58,47;Germany;Western Europe;"Wiley-VCH Verlag";"1994-2021";"Materials Chemistry (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1)";"Chemistry; Materials Science"
22;4800156201;"Chemistry - An Asian Journal";journal;"18614728, 1861471X";1,072;Q1;113;464;1577;32431;7042;1556;4,51;69,89;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2006-2021";"Chemistry (miscellaneous) (Q1); Organic Chemistry (Q1); Biochemistry (Q2)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
23;17464;"European Journal of Medicinal Chemistry";journal;"02235234, 17683254";1,054;Q1;175;854;2793;62443;18812;2790;6,82;73,12;France;Western Europe;"Elsevier Masson s.r.l.";"1974-2021";"Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Organic Chemistry (Q1); Pharmacology (Q1)";"Chemistry; Medicine; Pharmacology, Toxicology and Pharmaceutics"
24;7700153108;"International Journal of Nanomedicine";journal;"11782013, 11769114";1,032;Q1;145;496;1970;34447;14253;1967;6,86;69,45;New Zealand;Pacific Region;"Dove Medical Press Ltd.";"2006-2021";"Bioengineering (Q1); Biomaterials (Q1); Biophysics (Q1); Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Organic Chemistry (Q1); Pharmaceutical Science (Q1); Nanoscience and Nanotechnology (Q2)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Materials Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
25;21100943567;"ChemPhotoChem";journal;"23670932";1,018;Q1;25;143;414;8245;1425;372;3,31;57,66;Germany;Western Europe;"Wiley-VCH Verlag";"2017-2021";"Analytical Chemistry (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1)";"Chemistry"
26;26400;"Organic Process Research and Development";journal;"1520586X, 10836160";1,006;Q1;115;336;805;12709;2942;791;3,80;37,82;United States;Northern America;"American Chemical Society";"1997-2021";"Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1)";"Chemistry"
27;26423;"Organometallics";journal;"15206041, 02767333";0,994;Q1;176;468;1586;29800;5617;1565;3,53;63,68;United States;Northern America;"American Chemical Society";"1982-2021";"Inorganic Chemistry (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1)";"Chemistry"
28;25896;"Journal of Organic Chemistry";journal;"15206904, 00223263";0,983;Q1;234;1701;4658;96422;19510;4637;4,28;56,69;United States;Northern America;"American Chemical Society";"1936-2021";"Organic Chemistry (Q1)";"Chemistry"
29;21100819607;"Egyptian Journal of Petroleum";journal;"11100621, 20902468";0,936;Q1;46;36;223;1214;1406;223;4,64;33,72;Egypt;Africa/Middle East;"Egyptian Petroleum Research Institute";"2011-2021";"Fuel Technology (Q1); Organic Chemistry (Q1); Process Chemistry and Technology (Q1); Catalysis (Q2); Geochemistry and Petrology (Q2); Renewable Energy, Sustainability and the Environment (Q2)";"Chemical Engineering; Chemistry; Earth and Planetary Sciences; Energy"
30;19958;"Archives of Pharmacal Research";journal;"19763786, 02536269";0,930;Q1;93;73;304;6898;1545;303;5,34;94,49;South Korea;Asiatic Region;"Pharmaceutical Society of Korea";"1978-2021";"Drug Discovery (Q1); Organic Chemistry (Q1); Molecular Medicine (Q2)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
31;13261;"Progress in Organic Coatings";journal;"00330655, 03009440";0,928;Q1;115;472;1400;25840;8275;1398;6,13;54,75;Netherlands;Western Europe;"Elsevier";"1972-2021";"Chemical Engineering (miscellaneous) (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1); Surfaces, Coatings and Films (Q1)";"Chemical Engineering; Chemistry; Materials Science"
32;144932;"Protein Journal";journal;"15723887";0,924;Q1;56;81;190;4415;651;185;3,82;54,51;United States;Northern America;"Springer New York";"1996-2021";"Analytical Chemistry (Q1); Organic Chemistry (Q1); Biochemistry (Q2); Bioengineering (Q2)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry"
