,Rank,Title,Type,q_issn,SJR,Category,availability,coverage
0,1,Coordination Chemistry Reviews,journal,00108545,"4,442",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'CRKN Elsevier Additional Journals': 'Available from 01/01/1995 volume: 138.', 'Elsevier SD Freedom Collection Journals [SCFCJ]': '', 'Scholars Portal Journals: Elsevier Current': 'Available from 01/10/1995 volume: 144 until 28/02/2023 volume: 477.'}"
1,2,ACS Macro Letters,journal,21611653,"1,705",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,{'CRKN American Chemical Society Journals': 'Available from 17/01/2012 volume: 1 issue: 1.'}
2,3,Macromolecules,journal,00249297,"1,504",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'CRKN American Chemical Society Journals': 'Available from 01/01/1996 volume: 29 issue: 1.', 'ACS CRKN Legacy Archives': 'Available from 1968 volume: 1 issue: 1 until 1995 volume: 28 issue: 26.', 'American Chemical Society Legacy Archive': 'Available from 01/01/1968 volume: 1 issue: 1 until 31/12/1995 volume: 28 issue: 26.'}"
3,4,Ultrasonics Sonochemistry,journal,13504177,"1,414",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'Elsevier SD Freedom Collection Journals [SCFCJ]': '', 'Scholars Portal Journals: Elsevier Current': 'Available from 01/01/1995 volume: 2 issue: 1 until 31/01/2023 volume: 92.', 'PubMed Central': 'Available from 2021 volume: 70.', 'DOAJ - Directory of Open Access Journals': 'Available from 2021.', 'CRKN Elsevier Additional Journals': 'Available from 1995 volume: 2 issue: 1.'}"
4,5,Inorganic Chemistry Frontiers,journal,20521545,"1,316",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'CRKN Royal Society of Chemistry Journals Gold': 'Available from 01/01/2014 volume: 1 issue: 1.', 'Royal Society Of Chemistry Journals 2008-': 'Available from 2014 volume: 1 issue: 1.', 'Royal Society of Chemistry Free Journals plus Gold OA Content 2021': 'Available from 2014 until 2015.'}"
5,6,ChemCatChem,journal,18673880,"1,311",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 2011 volume: 3 issue: 5.Most recent 1 year(s) not available.', 'CRKN Wiley Online Library': 'Available from 2009 volume: 1 issue: 1.', 'Scholars Portal Journals: Wiley Current': 'Available from 01/08/2009 volume: 1 issue: 1 until 31/01/2015 volume: 7 issue: 1.'}"
6,7,Acta Crystallographica Section A: Foundations and Advances,journal,20532733,"1,230",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1997 volume: 53 issue: 1.', 'Scholars Portal Journals: Wiley Current': 'Available from 1968 volume: 24 until 1996 volume: 52.Available from 2002 volume: 58 issue: 1 until 2002 volume: 58 issue: 3.Available from 2004 volume: 60 until 2015 volume: 71 issue: 1.'}"
7,8,International Journal of Molecular Sciences,journal,14220067,"1,176",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 01/12/2008.', 'ProQuest Publicly Available Content Database': 'Available from 01/03/2000.', 'ProQuest SciTech Premium Collection': 'Available from 01/03/2000.', 'DOAJ - Directory of Open Access Journals': 'Available from 2000.', 'Free E- Journals': 'Available from 2000 volume: 1 issue: 1 until 2004 volume: 5 issue: 12.', 'PubMed Central': 'Available from 2007 volume: 8.', 'Scholars Portal Journals: Open Access': 'Available from 01/01/2007 volume: 8 issue: 1 until 31/12/2022 volume: 24 issue: 1.', 'Gale Academic OneFile': 'Available from 01/10/2020 until 31/10/2020.'}"
8,9,Inorganic Chemistry,journal,00201669,"1,121",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'CRKN American Chemical Society Journals': 'Available from 03/01/1996 volume: 35 issue: 1.', 'ACS CRKN Legacy Archives': 'Available from 1962 volume: 1 issue: 1 until 1995 volume: 34 issue: 26.', 'American Chemical Society Legacy Archive': 'Available from 01/02/1962 volume: 1 issue: 1 until 31/12/1995 volume: 34 issue: 26.'}"
9,10,Organometallics,journal,15206041,"0,994",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'CRKN American Chemical Society Journals': 'Available from 09/01/1996 volume: 15 issue: 1.', 'ACS CRKN Legacy Archives': 'Available from 1982 volume: 1 issue: 1 until 1995 volume: 14 issue: 12.', 'American Chemical Society Legacy Archive': 'Available from 01/01/1982 volume: 1 issue: 1 until 31/12/1995 volume: 14 issue: 12.'}"
